symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"at","2R2sNGCX89YjywAhrtLrcUMybT3cfupFHTGs86BMpump","56","7.000000001","","","","","","","","","","","","","","","","","0.000002102","","","","","","","2026-07-09T10:50:21.751Z","","","","","",""
"at","69xC4K1YaWMtkijnnD2KTF55TNY6xRv4Pr5nbFeYpump","56","7.000000001","","","","","","","","","","","","","","","","","0.000003728","","","","","","","2026-07-09T10:50:22.749Z","","","","","",""
".sol","39U1mTSXYrfKifknM96tFeCdaYXNDSTjvjU3h4p6pump","73","6.913580245","","","","","","","","","","","","","","","","","0.000002363","","","","","","","2026-07-09T10:50:23.804Z","","","","","",""
"GGGG","6HKii7n97CsbbSk7Cvdd1EupjUSSfm4dU3osC8kTpump","","","","","","","","","","","","","","","","","","","","","","","","","4.545e-7","","","","","","2026-07-09T10:51:20.756Z",""
"Pemp","BTPxPrJj896hMiKwYc96QQfxf3YWxsRzDvUJ8ENmpump","58","3","","","","","","","","","","","","","","","","","0.000002218","","","","","","","2026-07-09T10:51:21.745Z","","","","","",""
"tony","EEzB81RTCCQMNqAsmp9RWt2jmPVrh5sdavuo1qqFpump","63","4.938271603","","","","","","","","","","","","","","","","","0.00001028","","","","","","","2026-07-09T10:52:21.806Z","","","","","",""
"GGGG","4tQ9vK5jnPv957RoJ41FLufNYAi9JwRpCuY9AmaVpump","55","0.05530864","","","","","","","","","","","","","","","","","0.000001936","","","","","","","2026-07-09T10:52:22.826Z","","","","","",""
"RDA","69LZ8fAX9xFNYmtARBuv9X3rx7qYRqV5CuB52UWWpump","56","1.48148148","","","","","","","","","","","","","","","","","0.000002187","","","","","","","2026-07-09T10:52:23.748Z","","","","","",""
"ANEMABULL","5GUmJB9kz6dwqhJqpLaPh8cSFHvMMZJCo1UpnZtpump","62","2.893827158","","","","","","","","","","","","","","","","","0.0000027","","","","","","","2026-07-09T10:54:19.791Z","","","","","",""
"FLAKED","4pVA7DLC9yHaeNBSe3N5RXLYc4UMkVSi54QuzHAfpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002169","","","","","","","2026-07-09T10:56:19.743Z","","","","","",""
"GGGG","EUL9aLfMr32c3hVba6fkCz7aBQq9rFCBgfPMe32Bpump","","","","","","","","","","","","","","","","","","","","","","","","","4.93e-7","","","","","","2026-07-09T10:57:20.762Z",""
"Vulcan","81SWzyU5HsSUTwXziQyTPa7W53G8V5riQbx3B8kUpump","60","3","","","","","","","","","","","","","","","","","0.000002197","","","","","","","2026-07-09T10:57:21.775Z","","","","","",""
".com","5WY9vamKWJTQFHGmUEdKzG1Y8XP9CgLEBoyovBv1pump","66","3","","","","","","","","","","","","","","","","","0.000008125","","","","","","","2026-07-09T10:58:22.746Z","","","","","",""
".COM","LeXdw6qrtYCjnQ4mRFiGAZZq4NhxEJen6T1Tvynpump","61","2","","","","","","","","","","","","","","","","","0.000002469","","","","","","","2026-07-09T10:58:23.784Z","","","","","",""
"at","nd3SKio4GjYfVbv7S1jkpTDujkveVRftdpm3JCApump","56","7.000000001","","","","","","","","","","","","","","","","","0.000002907","","","","","","","2026-07-09T11:00:20.761Z","","","","","",""
"HOLE","8cetRjJva3AwLcAgLt18CB2GLV1cxFP3iRe3Fid6pump","","","","","","","","","","","","","","","","","","","","","","","","","1.589e-7","","","","","","2026-07-09T11:00:21.779Z",""
"Felix","GQHh2kXu6RHkWH45cJ4tZo6easuU88LPhSGTwC5apump","56","1.48148148","","","","","","","","","","","","","","","","","0.000002171","","","","","","","2026-07-09T11:01:23.748Z","","","","","",""
"Arrow","AzjKycPBhRfkWtZF15hYXecNbrcJ42QMPMUdVBFcpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000001172","","","","","","2026-07-09T11:03:20.805Z",""
"PIG","A5pBtdGWqZcwzBBWPfEKKdspMtNZS4yFbz9pF7A2pump","59","2.370370368","","","","","","","","","","","","","","","","","0.000002173","","","","","","","2026-07-09T11:03:21.839Z","","","","","",""
"boxcat","FT6q19b2JMqj9HBdsGxfDnu7txvmkDDh5c1efZKHpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002227","","","","","","","2026-07-09T11:04:21.773Z","","","","","",""
"boxcat","21xiiMUjdjkf6Y86FEetHzewaCwQyukNK7ehhf95pump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002223","","","","","","","2026-07-09T11:04:22.737Z","","","","","",""
"boxcat","Gu6CpYNh7HvfRfe1QMDAMfzJ5jtb9VCGqT15Jg2Mpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002223","","","","","","","2026-07-09T11:05:22.812Z","","","","","",""
"IRJ","35jgsXeYuJQ2eiWpCnWfXwQ2TSy6JTKntYLCiK8Wpump","67","2.962962961","","","","","","","","","","","","","","","","","0.000002275","","","","","","","2026-07-09T11:05:23.895Z","","","","","",""
"rocketnigg","5UjZ6kF6JzXJga2waMnG5HFumjPDdxpg44gVr6Etpump","72","2.469135801","","","","","","","","","","","","","","","","","0.000001781","","","","","","","2026-07-09T11:06:23.762Z","","","","","",""
"EVERMEADOW","q2Qr39aWunvQXiWULFmGoj6VcJ4dedx8EPBddrjpump","72","3.911111107","","","","","","","","","","","","","","","","","0.000003631","","","","","","","2026-07-09T11:06:24.854Z","","","","","",""
"boxcat","EjXVLX6zzEF3YJnJ2ALRVQx56toWVfiAjeypiNwApump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002224","","","","","","","2026-07-09T11:06:25.751Z","","","","","",""
"boxcat","FJeB1QvAnRKZK2B95ifoG4zZk5Qc7YKD7fDJHQ42pump","61","1.97530864","","","","","","","","","","","","","","","","","0.0000022","","","","","","","2026-07-09T11:07:22.750Z","","","","","",""
"哈兰葱","5RPD1avPsCrE4kkyUo4hpqAbB6VeV4mTWczUoD61pump","80","9.876543208","","","","","","","","","","","","","","","","","0.000007718","","","","","","","2026-07-09T11:07:23.751Z","","","","","",""
"Printer","FNzYGyuzjHnJ7LnxgPCem9fjAFbGW7U9n4iEbwHhpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002359","","","","","","2026-07-09T11:07:24.751Z",""
"boxcat","2sVxc4NUbwRXd275SZeBGEW6vbQZyHdMUwexjTYhpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002199","","","","","","","2026-07-09T11:08:23.786Z","","","","","",""
"KYC","DxxVYqYTbYk7hEbnKWdTeCFqRuTxY7XUoHYnQwV6pump","56","3","","","","","","","","","","","","","","","","","0.000002201","","","","","","","2026-07-09T11:08:24.792Z","","","","","",""
"Retsuko","9KwbZAcSSM3ouxZxiBm4tuYpLYSxcj2uQtgq4y8Npump","59","3","","","","","","","","","","","","","","","","","0.000002218","","","","","","","2026-07-09T11:08:25.806Z","","","","","",""
"boxcat","DL9hXSDhUF8d7ff9U1MwjMQ8ZrrLbzpUpmAdDxbfpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000008807","","","","","","","2026-07-09T11:09:21.751Z","","","","","",""
"gasmask","CcTUtfnqTrwPVkpMGvhhvYe7uhmVAUFVWPaxQGarpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002171","","","","","","2026-07-09T11:09:22.768Z",""
"Arrow","ENFeNw5d1zfdJHaAKwXpACUWkFeBgTVSqAsrFY5Bpump","","","","","","","","","","","","","","","","","","","","","","","","","5.428e-7","","","","","","2026-07-09T11:09:23.745Z",""
"boxcat","2zCniJEd8uiMmtgehVQUT6LcuT6ETEnd6AvpfNbEpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002201","","","","","","","2026-07-09T11:09:25.437Z","","","","","",""
"NU","64KzeqDmmTaxdx6ay9rQtPiReqBR5u6sMV2UiEfxpump","","","","","","","","","","","","","","","","","","","","","","","","","2.464e-7","","","","","","2026-07-09T11:10:22.789Z",""
"at","6voUkUvHny8PnU463JcCojpdRR3tYRMGrDbwg1Uypump","","","","","","","","","","","","","","","","","","","","","","","","","2.526e-7","","","","","","2026-07-09T11:10:23.926Z",""
"PUMP","DFuGjG4abxpgFfYzrYnKawKR6yUKRBRdD8e7gLRbpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000001222","","","","","","2026-07-09T11:10:24.732Z",""
"boop","4tXBGkcYn25M6KrnjNDRZfhc9r9gaSP3oVLQQJDapump","60","2.5","","","","","","","","","","","","","","","","","0.000002444","","","","","","","2026-07-09T11:10:25.768Z","","","","","",""
"Seagull","9bZh6BxZYq595tP2MfijaAq1FiZzvYVEJRUcQ7HGpump","55","3","","","","","","","","","","","","","","","","","0.000002171","","","","","","0.000002171","2026-07-09T11:11:22.233Z","","","","","2026-07-09T11:14:18.897Z",""
"dat","8NFT5K793Ff8QK37xnT714yV1jmxpNRUcGB9BhUcpump","57","2.500000001","","","","","","","","","","","","","","","","","0.000002328","","","","","","","2026-07-09T11:11:22.745Z","","","","","",""
"JFSOL","DyTr4Wm2FUwi3XMaf1ewmNBuanbmhTReuodA3N8rpump","55","2.962962961","","","","","","","","","","","","","","","","","0.000002621","","","","","","","2026-07-09T11:11:23.744Z","","","","","",""
"Retsuko","HWN21tTSWHanJyPMdBLvuaAHmzpxGbHpCYb5pPz6pump","58","3","","","","","","","","","","","","","","","","","0.000002577","","","","","","","2026-07-09T11:11:24.821Z","","","","","",""
"johnny","Eujw7p2AbJxyZEB4F4g7L5VQKAAHntmN3c7umjiuWCt1","72","4","","","","","","","","","","","","","","","","","0.00000223","","","","","","","2026-07-09T11:15:22.760Z","","","","","",""
"Retardog","EecEoqFSzyLiJCiNs7u6JNTLRHHcuq1fs5zMzgjhpump","92","2.962962961","","","","","","","","","","","","","","","","","0.000002274","","","","","","","2026-07-09T11:17:20.778Z","","","","","",""
"NOVA","6dwphC5moGT4b9xSvqvQUVMUc7u5pBLpsYrXXUiNpump","73","4.304197529","","","","","","","","","","","","","","","","","0.000003079","","","","","","","2026-07-09T11:17:21.818Z","","","","","",""
"CWC","8hz1erFXBSVx1asWxFzYYUjuP9E9zLxAt7g1Vthxpump","60","2.5","","","","","","","","","","","","","","","","","0.000002167","","","","","","","2026-07-09T11:19:22.896Z","","","","","",""
"ANSEMJAK","5v82qzaRuhHxffaaf7c7USYZErXMj81oTPJGKmdMpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002175","","","","","","2026-07-09T11:19:23.755Z",""
"fastestbonder","DokEAugtxNcSiPEuUnSuZMSTaXX17c3Xz4GG1jg2pump","","","","","","","","","","","","","","","","","","","","","","","","","3.562e-8","","","","","","2026-07-09T11:19:24.734Z",""
"johnny","4PRj2cZD36b2ogdq9ccu6Xc2pwmAbmJBxLu4HCDzpump","97","0.0001","","","","","","","","","","","","","","","","","0.000002288","","","","","","","2026-07-09T11:19:25.775Z","","","","","",""
"Donald ","BFHNfmt2GYDsxX7k9TQFuPS2g4jo32o6PXyRkXAxpump","","","","","","","","","","","","","","","","","","","","","","","","","4.168e-8","","","","","","2026-07-09T11:20:21.741Z",""
"ANSEMJAK","CUQ4GuXXwmWLfCNoEouXPSin5RumFCKzc5UB39Ejpump","81","14.814814813","","","","","","","","","","","","","","","","","0.000007387","","","","","","","2026-07-09T11:22:21.762Z","","","","","",""
"PUMP","2k7a8mdMj756QoGMdbWkXqzffauqSXEUkExPVJb1pump","","","","","","","","","","","","","","","","","","","","","","","","","7.099e-7","","","","","","2026-07-09T11:22:22.726Z",""
"Cupriavidus","GF8GQnURhJcqZvAuB7eZMG7a9bHNfKTqjYdBZGiLpump","63","2.962962961","","","","","","","","","","","","","","","","","0.00001484","","","","","","","2026-07-09T11:22:23.717Z","","","","","",""
"MetaBacteria","9SNoSiaFKTf8ZSsK37g1nEsYHMTVJXxSzJdtcFKjpump","58","3","","","","","","","","","","","","","","","","","0.00001236","","","","","","","2026-07-09T11:23:20.923Z","","","","","",""
"muta","GGXk5S1qJwRntWyrXXci4zACdCbrCn9RBYBdqUJUpump","87","0.0001","","","","","","","","","","","","","","","","","0.000002267","","","","","","","2026-07-09T11:23:21.724Z","","","","","",""
"$BROKE","29nFXDoUTGmJw7SzQ3a1EnGco5m6p8yNerxmr7AUpump","60","0.395061727","","","","","","","","","","","","","","","","","0.00001162","","","","","","","2026-07-09T11:24:19.799Z","","","","","",""
"HUHCAT","BKAcYyX1ocmtt6WGC4VVeFuHwp4Ph7XoAP89NY1zpump","60","1.88852191","","","","","","","","","","","","","","","","","0.000003345","","","","","","","2026-07-09T11:25:20.854Z","","","","","",""
"$BROKE","CEkLfvQa6L7KZKVsx1jEv4VYn1N172VJzc8YXf8ppump","","","","","","","","","","","","","","","","","","","","","","","","","4.283e-7","","","","","","2026-07-09T11:25:21.750Z",""
"FPJ","99i1NVfp9i7ygqawV68Wnrox1eLf1kN4YmMU6Gimpump","72","4","","","","","","","","","","","","","","","","","0.000002282","","","","","","","2026-07-09T11:26:21.745Z","","","","","",""
"WANSEM","GYpgCeqQJd5eNGXU6VC5jrDs2AgtVcuEjsMJp7ghpump","80","6.913580245","","","","","","","","","","","","","","","","","0.000002708","","","","","","","2026-07-09T11:26:22.797Z","","","","","",""
"MetaBacteria","CZVYmmUdZnpLezT1wMHyqB9Y8BZba1j8awg7jK9Fgzgj","60","3.950617282","","","","","","","","","","","","","","","","","0.000002265","","","","","","","2026-07-09T11:26:23.750Z","","","","","",""
"BBC","4WMdaLAMfPweusy6hTd93fV4HNLGFrspWHpMnTkspump","92","22.222222221","","","","","","","","","","","","","","","","","0.000006835","","","","","","","2026-07-09T11:27:21.739Z","","","","","",""
"QUEEF","2TfEZKzXtQp8KiN85W5f6S2AazpK7CkWrXi857H2pump","","","","","","","","","","","","","","","","","","","","","","","","","2.589e-7","","","","","","2026-07-09T11:27:22.803Z",""
"NOVA","FaHbVnbDoxvVsUipsfYU4mQfukrMPgV4KARaahCxpump","74","4.504888887","","","","","","","","","","","","","","","","","0.000003762","","","","","","","2026-07-09T11:27:23.740Z","","","","","",""
"at","FEuC27ZUCQKP9iVzk4EhuRHoupXemDCJZcYdesjGpump","","","","","","","","","","","","","","","","","","","","","","","","","3.606e-7","","","","","","2026-07-09T11:28:20.803Z",""
"hahah","4BRcXYyF8BKMpcEKh6kinut5vmbPit5Pp7ypupPdpump","56","2.500000001","","","","","","","0","0","-0.1","960","","","","","","","0.00000263","0.00000263","","","","","","2026-07-09T11:28:21.743Z","2026-07-09T11:31:18.876Z","","","","",""
"MetaBacteria","CP1N2fmuGLNU4xkjzXJdXjXCQvQJuhhgQFLDMcf6pump","67","8","","","","","","","","","","","","","","","","","0.000002208","","","","","","","2026-07-09T11:30:20.747Z","","","","","",""
"louts","EyuXDccdWHsaYyZ9hPQBEYYnFVX5Uop7VHmESTd7pump","","","","","","","","","","","","","","","","","","","","","","","","","1.446e-7","","","","","","2026-07-09T11:30:21.785Z",""
"Ascend","Bd49woEwBg61ybK5qXtpyJ751E3RpDfKjEyQNcp8pump","67","3","","","","","","","","","","","","","","","","","0.000002442","","","","","","0.000002164","2026-07-09T11:32:21.821Z","","","","","2026-07-09T11:35:18.836Z",""
"chudcat","6VsSDLykNmBxeDEPMJW7853G9m8jFQYMyRwNXrPnpump","100","0.088875016","","","","","","","","","","","","","","","","","0.000002165","","","","","","","2026-07-09T11:32:22.733Z","","","","","",""
"choice","CT2VUCFtGPfpjRZnMCZ89yh4rdhJnbmF1AWd5T97pump","60","5.000000001","","","","","","","","","","","","","","","","","0.000002163","","","","","","","2026-07-09T11:32:23.746Z","","","","","",""
"at","AirXgTCghVdFDt8XzLSdsRVVo9T1gvV6d4ZmN5gipump","56","7.000000001","","","","","","","","","","","","","","","","","0.000004974","","","","","","","2026-07-09T11:33:20.807Z","","","","","",""
"Retardog","MwvYjJ6RYTax95tYgfaTN4ZeHSqmMrsAbx1L5Bgpump","90","2.962962961","","","","","","","","","","","","","","","","","0.000002163","","","","","","","2026-07-09T11:33:21.764Z","","","","","",""
"MetaBacteria","D5nMwyDYVFcMVhQmbe3qqqA8SEd1keA7E62ZdMzhpump","55","2.962962961","","","","","","","","","","","","","","","","","0.000002265","","","","","","","2026-07-09T11:34:21.820Z","","","","","",""
"at","4MQdytH9MrJYpTwbSUP5g29sBWCyE8PrDn9YTLQ5pump","","","","","","","","","","","","","","","","","","","","","","","","","4.628e-7","","","","","","2026-07-09T11:35:21.722Z",""
"FERG","E2VoosFpwenxLE5T3Uf4VnUh3yiQuLxCrgwXqAxKpump","68","3.084444442","","","","","","","","","","","","","","","","","0.000002663","","","","","","0.000002171","2026-07-09T11:35:22.792Z","","","","","2026-07-09T11:39:18.800Z",""
"at","5sAp42Cec5eNPm7EcBaTADRyM4d2KcrQNhsnnKcQpump","","","","","","","","","","","","","","","","","","","","","","","","","3.113e-7","","","","","","2026-07-09T11:35:23.761Z",""
"Kim","E6EMiY2EBC28dXqUZzzHBbwojWZJHuz3bZU8unB7pump","74","7.901234566","","","","","","","","","","","","","","","","","0.000002212","","","","","","","2026-07-09T11:37:19.811Z","","","","","",""
"deg","5JepEeRbG32kq3wXBibpy56QAAwk4F3D5yTTECm4pump","","","","","","","","","0","0","0","960","","","","","","","","0.00000217","","","","","","","2026-07-09T11:38:18.852Z","","","","",""
"BIBILABU","H1ihJ2Dj7sPqheFEvVU5CdARxuej6YknAhmabkyhpump","56","1.48148148","","","","","","","","","","","","","","","","","0.000002164","","","","","","","2026-07-09T11:40:19.753Z","","","","","",""
"Arsenal","29VpSX4E7r8h5WkXrTvy7arxa6s3P6EKDqzaW6mipump","60","3","","","","","","","","","","","","","","","","","0.000002164","","","","","","","2026-07-09T11:41:19.752Z","","","","","",""
"ZYNT","AEPNWAL5AXpQCzw34JCeKqn3n3aGrijX57B9rmAxpump","59","1.81","","","","","","","","","","","","","","","","","0.000002171","","","","","","","2026-07-09T11:42:19.434Z","","","","","",""
"NACK","14RG2t31UVoJUSQXu1GoBvtE8Ep22oUJ2N7Vc8S3pump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002208","","","","","","2026-07-09T11:43:21.748Z",""
"Beanos","Bqc6PXNHBWx7BcN9VDLghCMFRhn8bWW7RpQUPRAUpump","75","0.0001","","","","","","","","","","","","","","","","","0.00000231","","","","","","","2026-07-09T11:43:22.820Z","","","","","",""
"Nack","sTn8Vk3C75UwY9UaDLs8XQ77HoRnm1RQorQw9hapump","100","4.938271603","","","","","","","","","","","","","","","","","0.000005844","","","","","","","2026-07-09T11:43:23.780Z","","","","","",""
"ANSEMJAK","6JDBNapBr9Gq5KerZw1TTeP6dDudXBSRQpFa8uYtpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002173","","","","","","2026-07-09T11:44:20.805Z",""
"Knack","AoB7AsAVwFfBHdacuFbMpf25nFVzh7fV92jasvMqpump","64","3","","","","","","","","","","","","","","","","","0.000002178","","","","","","","2026-07-09T11:44:21.749Z","","","","","",""
"ANSEMJAK","9M1bnoCre8JaBdbZ4bU1m3CHZnNjSMYjp46VTGUqpump","80","14.814814813","","","","","","","","","","","","","","","","","0.000005913","","","","","","0.000002195","2026-07-09T11:45:22.040Z","","","","","2026-07-09T11:47:18.836Z",""
".bull","B8MX8BLbFbUBh5feDVEzqTaNdYBfjMhsDHzV3rXupump","67","2.962962961","","","","","","","","","","","","","","","","","0.000002186","","","","","","","2026-07-09T11:45:22.284Z","","","","","",""
"HuBots","Ap64L8MbN97UBN8Tyth3FkaHErsBwKNcbFbXxYbNpump","","","","","","","","","","","","","","","","","","","","","","","","","6.424e-8","","","","","","2026-07-09T11:45:22.723Z",""
"pray","EtmrgPHjTAys8XMwaus9NZRxSZJ9mHgJFv4ZKcXupump","","","","","","","","","","","","","","","","","","","","","","","","","3.584e-7","","","","","","2026-07-09T11:46:20.331Z",""
"LilStoat","87dGzjtLC35UwF2D9ZPt2a2EXxgKuzRJH9TdAFSPpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002209","","","","","","","2026-07-09T11:47:21.738Z","","","","","",""
"LilStoat","ATbHsbkDoXdLXt37yZWiyCf65ZKAeLYUNDaweAaNpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002203","","","","","","","2026-07-09T11:47:22.794Z","","","","","",""
"pray","CZJJv7w7HZ3kbFi87MU1G3RnaKuWwmrnwtNTYAeYpump","","","","","","","","","","","","","","","","","","","","","","","","","4.054e-7","","","","","","2026-07-09T11:47:23.875Z",""
"LilStoat","CiDKAh6JjDPeAnE61sEyJUqVgqjobY9i7xXTPUD6pump","61","1.97530864","","","","","","","","","","","","","","","","","0.00001015","","","","","","","2026-07-09T11:48:21.500Z","","","","","",""
"pray","DRXehuzXLKWdypPvPNgWjX5wuYku3xA598RAThoRpump","","","","","","","","","","","","","","","","","","","","","","","","","2.029e-7","","","","","","2026-07-09T11:48:21.695Z",""
"ASMR","B64LjFSi25qNRVjkfiUNArmGtiF3d4gtvHArCjL5pump","89","0.250000001","","","","","","","","","","","","","","","","","0.000002217","","","","","","","2026-07-09T11:49:20.724Z","","","","","",""
"$DELULU","CM3xaafBoSTGTcChswYmFvewZ4xE8iwruVUDUGNbpump","","","","","","","","","","","","","","","","","","","","","","","","","5.938e-7","","","","","","2026-07-09T11:49:22.273Z",""
"pray","Es7cULDip1VpANedv1mV3XLpps2FgUSK2yW8WhoNpump","","","","","","","","","","","","","","","","","","","","","","","","","4.704e-7","","","","","","2026-07-09T11:50:21.765Z",""
"Insurance","C1BRMeQe82iboPcAgKpbzx4crj7XYFSuEvRkiZcBpump","94","29.629629628","","","","","","","","","","","","","","","","","0.00001346","","","","","","","2026-07-09T11:50:22.731Z","","","","","",""
"ANSEMJAK","2C4JnESQv6hdTZxGuQpm48TdewRZ2ptRdN8SVbVxpump","79","14.814814813","","","","","","","","","","","","","","","","","0.000005711","","","","","","0.000002179","2026-07-09T11:50:23.736Z","","","","","2026-07-09T11:52:18.854Z",""
"pray","JArNZX5Bu5GxpmGLstqSQRobNyZyUDd7PfpTf33dpump","","","","","","","","","","","","","","","","","","","","","","","","","4.48e-7","","","","","","2026-07-09T11:51:20.740Z",""
"IAS","ChrrvXGZSvkfbQWP8GiJcXSr8GfWcHmzes2vhzuYpump","","","","","","","","","","","","","","","","","","","","","","","","","4.16e-9","","","","","","2026-07-09T11:51:21.860Z",""
"Meowl","AQFZT5YiYBqaPgVRV5VtE2wdMKGLCCryH1hjGjjJpump","61","1.97530864","","","","","","","","","","","","","","","","","0.000002182","","","","","","","2026-07-09T11:52:19.735Z","","","","","",""
"pray","7aPXWjtd9XsDLjreyeARN82qnwDcGjLjxg5Ait7xpump","","","","","","","","","","","","","","","","","","","","","","","","","4.364e-7","","","","","","2026-07-09T11:53:20.798Z",""
"ANSIGMA","5YLp1ctSREjp1g6VjhabppUf3NZVme63teZYtGnzpump","100","0.493750089","","","","","","","","","","","","","","","","","0.000002218","","","","","","","2026-07-09T11:53:21.753Z","","","","","",""
"KOL","8Nmg3HKRA81E8JcjvUNVDk3c4wrVxW6JNFmiFrMppump","","","","","","","","","","","","","","","","","","","","","","","","","0.000002174","","","","","","2026-07-09T11:54:22.720Z",""
"SMARTSEM","BaYgSLnAYWct5y8FUQViQVX3qHurDxuNiYswAb6pump","98","0.493750089","","","","","","","","","","","","","","","","","0.000002205","","","","","","","2026-07-09T11:54:23.751Z","","","","","",""
"S&P500","639n7NN9B4JjGn28QhkBJs6tuXitdRsWnBHMdanWpump","72","5","","","","","","","","","","","","","","","","","0.000004562","","","","","","","2026-07-09T11:54:24.722Z","","","","","",""
"pray","4JK545BCfFjqyzAh2Nbk8wtDvD9gPGuhJueLhwsqpump","","","","","","","","","","","","","","","","","","","","","","","","","2.329e-7","","","","","","2026-07-09T11:54:25.746Z",""
"ANSEMJAK","7u7PFcmEfjXP8LuoBvjA7Gf4Px7YoBW4AYXMSSgHpump","79","14.814814813","","","","","","","","","","","","","","","","","0.000006009","","","","","","","2026-07-09T11:55:19.755Z","","","","","",""
"COPIT","4tP6NspD1Q52D6FZMa8KPpBysXK3H6TTBSK8p2uspump","58","1.645504907","","","","","","","","","","","","","","","","","0.000002413","","","","","","","2026-07-09T11:56:21.836Z","","","","","",""
"Hamburger","E1afBAyWGzbKBa6dSb1nDa5xzALhB8Gj6azmMGnypump","58","3","","","","","","","","","","","","","","","","","0.000002212","","","","","","","2026-07-09T11:56:22.733Z","","","","","",""
"pray","8kD2yLqWuUaJoZVZSy4iXK38mATBkAD8km2i3An3pump","","","","","","","","","","","","","","","","","","","","","","","","","4.111e-7","","","","","","2026-07-09T11:56:23.735Z",""
"BULLPOOP","4EZWmmg4Ds2emWPdAirxZ3tpCTP49U58J7TxWKMKpump","91","0.493750089","","","","","","","","","","","","","","","","","0.00000219","","","","","","","2026-07-09T11:57:19.936Z","","","","","",""
"Dickchain","H36yB5s7S7os4miHVCsZKH174M2RwEBR4Eiid2cupump","64","5","","","","","","","","","","","","","","","","","0.000002774","","","","","","","2026-07-09T11:58:23.767Z","","","","","",""
"COOPCOIN","Ba6p8giEZNLvmhLSfG15UfAuKjf3nAhoxz5wnvjppump","","","","","","","","","","","","","","","","","","","","","","","","","1.339e-7","","","","","","2026-07-09T11:58:24.741Z",""
"Hamburger","D3eacavjZZmzwRgDt4xQukai8k7vvRXZtVKJDiEzpump","56","3","","","","","","","","","","","","","","","","","0.000002176","","","","","","","2026-07-09T11:58:25.735Z","","","","","",""
"Hamburger","8gU7iw1G4TCgz85jxu8yxqJY9iDfeMRQQAt3iyjkpump","63","3","","","","","","","","","","","","","","","","","0.000002212","","","","","","","2026-07-09T11:58:26.733Z","","","","","",""
"TRUMPS","FxeHVu3v7H2una578bBUPjQXeAHHft8HocDiuu83pump","75","4.888888887","","","","","","","","","","","","","","","","","0.000005322","","","","","","","2026-07-09T11:59:21.720Z","","","","","",""
"IPA","BKyfdh6wTZLue3TYUpfrmEt3AwbMFbnYJsYsYbK4pump","63","5","","","","","","","","","","","","","","","","","0.000002171","","","","","","","2026-07-09T11:59:22.781Z","","","","","",""
"Buttplugblock","7MFfr4J1PrgbMjZh9MouHrtLvX7fDkstUkTPd9Uhpump","75","3","","","","","","","","","","","","","","","","","0.000002203","","","","","","","2026-07-09T11:59:23.780Z","","","","","",""
"boop","GwWbGq6fd5EqHiX423pkA2s3nh8xHDLwERe8NAD1pump","72","4","","","","","","","","","","","","","","","","","0.000006378","","","","","","","2026-07-09T12:00:22.729Z","","","","","",""
"GOLDBULL","8M4cConmKmVSQ8H3MNVGu7oRDKwtjckhmYUoDmcGpump","82","0.493750089","","","","","","","","","","","","","","","","","0.000002177","","","","","","","2026-07-09T12:00:23.723Z","","","","","",""
"BTC","qv6d6fDRjpF4M1YwvFYneb575FtHjrexDffttwepump","55","3","","","","","","","","","","","","","","","","","0.000005736","","","","","","","2026-07-09T12:00:24.733Z","","","","","",""
"ZANSEM","275USTh2qrhXYWByQTM4HPiMvBViVWnGbJxbXfxwpump","93","24.500000001","","","","","","","","","","","","","","","","","0.000008904","","","","","","0.000002372","2026-07-09T12:00:25.733Z","","","","","2026-07-09T12:02:19.969Z",""
"COOPCOIN","7BiQwD1k5AdEXGeNTtnvA97fXrjFZA4Cgy6GDYYrpump","71","3.000000001","","","","","","","","","","","","","","","","","0.000003662","","","","","","","2026-07-09T12:01:20.747Z","","","","","",""
"BTC","XiujMsz9a9b7N4JVbNJVPeiwZRuJ4jZuUfefUR2pump","60","2.962962961","","","","","","","","","","","","","","","","","0.000002782","","","","","","","2026-07-09T12:01:21.769Z","","","","","",""
