symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"mensa","ZFhzwE1q8sCtvTPYQgKxuwVw9EP7WMjVH7MQ1L8pump","62","0.100000001","","","","","","","0","0","0","916","0.100000001","0","1","1","0","0","2119.5","3","30.54","30.54","0.556","0.556","-2.91","","0","0","1","0","0","","","","","","","0.000002119","0.000002119","","","","","","2026-07-20T20:02:24.339Z","2026-07-20T20:03:54.356Z","","","","",""
"JACKIE","5CxpEp6Mt2GV6TjtthRPGc28bSKMJLG5WKQURj5cpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002276","","","","","","","2026-07-20T20:02:24.359Z","","","","","",""
"JEWCAT","9GESsSPxD3CmF2fq83rn69neZafSkcPQ3CsUQo78pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001502","","","","","","2026-07-20T20:02:30.305Z",""
"Sally","AgeEXhzNuxQi5hwBEbbKTjt77Frs11RzzeuM2kRJziSP","72","5.599999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002168","","","","","","","2026-07-20T20:02:30.337Z","","","","","",""
"AURA","87Cc4fjYpthT9UdSceHzFhNwoCYozm7CYx5YXUMmpump","58","0.200000001","","","","","","","","","","","0.200000001","0","4","1","0","0","2815.97","3","53.48","53.48","0.667","0.667","28.14","","0","0","1","0","0","","","","","","","0.000002815","0.000002815","","","","","","2026-07-20T20:02:42.304Z","2026-07-20T20:04:12.310Z","","","","",""
"coinmaxxing","AhnvCTJ8hazH5vA2iK4Q13MeWvcaG1UMvXeo7ejPpump","67","5","","","","","","","11.1","396","-19.4","906","5","0","1","0","0","0","6106.8","3","7415.26","7415.26","0.61","0.61","107","","0","0","1","0","1","","","","","","","0.000004395","0.000006106","","","","","","2026-07-20T20:02:48.301Z","2026-07-20T20:04:24.381Z","","","","",""
"JACKIE","8Z7zDypCuSeDBdU6qSgMJFteZiSesstetMc6bPDNpump","57","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000006138","","","","","","","2026-07-20T20:02:48.320Z","","","","","",""
"mensa","CdzvzFJmft6T5rCq9en3BFTsvALdEcWhieVccUERpump","60","0.120000001","","","","","","","0","0","0","904","0.120000001","0","2","1","0","0","4080.26","3","59.84","59.84","0.615","0.615","86.66","","0","0","1","0","0","","","","","","","0.00000408","0.00000408","","","","","","2026-07-20T20:02:48.339Z","2026-07-20T20:04:36.331Z","","","","",""
"JEWCAT","5Ygr84puSBo2QCWkX14TUUeU5JXCp2DZEN23Aay7pump","85","5.925925924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004669","","","","","","","2026-07-20T20:02:54.324Z","","","","","",""
"sponge","EgYy4Q8GNmX474sLXUVKc2Y1Z2AWoX8UC8UTfHyhpump","57","0.098765431","","","","","","","","","","","0.098765431","0","3","1","0","0","4819.15","3","70.5","70.5","0.688","0.688","121","","0","0","1","0","0","","","","","","","0.000004819","0.000004819","","","","","","2026-07-20T20:02:54.351Z","2026-07-20T20:04:42.428Z","","","","",""
"CPCR","5bmWAw1D27x76b6qYXk87XktTyDLXotKiDoz4KF7pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001144","","","","","","2026-07-20T20:03:06.304Z",""
"LDB","Fu7AD95CFbyFZP2WVYBUMoFRhwE1uRrCt8YqfjGUpump","72","0.500000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004026","","","","","","","2026-07-20T20:03:12.316Z","","","","","",""
"mensa","HWahe16SSunpeZL5X26FCxYrT8c8c8Da9yYgGfpupump","57","0.100000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001777","","","","","","","2026-07-20T20:03:12.346Z","","","","","",""
"Biberty","7cmSN2JTAJ7F7EKMPSPPGoPQp5YaLfYd3aK9VBWRpump","55","1.692543208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002168","","","","","","","2026-07-20T20:03:24.327Z","","","","","",""
"$LIQ 📉","239BUwLoWtqHsx8fmmqtBXhLDCsXWRgrNr1H6nnfpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.142e-7","","","","","","2026-07-20T20:03:30.321Z",""
