symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"bamboza","59uZLiFDTZKShme1QjzdEkDMy6BWRYTkbAitqmizpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.951e-8","","","","","","2026-07-13T02:15:19.047Z",""
"$FJC","BcgsqWPimtTjk3bYjhwU4JRRFb9F8niFhZBLd4Prpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.169e-7","","","","","","2026-07-13T02:15:19.969Z",""
"WOW","3sHhzLRKoyq95Vn2tewveKyvJgqciBAqrwJWzddbpump","66","0.197530863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001756","","","","","","","2026-07-13T02:15:20.968Z","","","","","",""
"MASC","DMgXiPYrxkMXPePPtZs9pLE6CZfaDLv6Gh1J1npqpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.636e-7","","","","","","2026-07-13T02:16:17.171Z",""
"WOW","BhbVari1yjuK5v998YstRDYt7ZyJwxTr481aqrfxpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.265e-7","","","","","","2026-07-13T02:17:18.974Z",""
"ANSEM","EX9rUjEVN1Y8gEypPxRgtg77ZhuQVb9gUVUuRoDUpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56e-7","","","","","","2026-07-13T02:17:19.998Z",""
"ANSEM","21Rj9KUrt7JuQVWQTHN2rRgnmN5JkQt6yfs3XBfkpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.568e-7","","","","","","2026-07-13T02:17:20.961Z",""
"ANSEM","41PJLYKCYYCWNA5bd9gWc32LtUpZ92PxP7DjtsZppump","92","0.296296295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002515","","","","","","","2026-07-13T02:18:19.974Z","","","","","",""
"WOW","6d5gfsYp6zkZUsjw2NVDJsVuNGpcgtjBLGWXkXNGpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.082e-8","","","","","","2026-07-13T02:18:21.971Z",""
"BOND","GjotueLGad1KxoGFboGtLqfQXnX66xJMGGF41uQypump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.644e-7","","","","","","2026-07-13T02:18:23.022Z",""
"ANSEM","itMWurztZzE48QnHAAnRW8yVMXpRD47rAwh3ot1pump","85","0.296296295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002534","","","","","","","2026-07-13T02:19:18.118Z","","","","","",""
"Mayhem R","9HnAYgmqHjAHUHo3fJyJ46qJu9WmGHhxdMAGFwuPpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.155e-7","","","","","","2026-07-13T02:19:18.971Z",""
"bitch","5wdc2dU4xANQSW7dpo8a2jQ5N6u7avEnoE5wPyspump","100","23.703703701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001556","","","","","","","2026-07-13T02:20:18.978Z","","","","","",""
"S&P500","9ih65LbKTLXGLaH1e181gu2MXfaw8i9Dh8hhSs4npump","71","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002139","","","","","","","2026-07-13T02:20:19.973Z","","","","","",""
"Trash","4k3qgxSpUWokc3XCJShRiv2mrxYitefTUuSMquaUpump","100","14.814814814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000008174","","","","","","","2026-07-13T02:20:20.968Z","","","","","",""
"TABLESEM","3Mx88mTZUU4Da5LeAsaUBnefxwWWTrD5ZZNK5d5Ypump","66","0.090000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002153","","","","","","2.02e-7","2026-07-13T02:21:17.019Z","","","","","2026-07-13T02:28:16.119Z",""
"Entry","9ExvNhwxKNJrhHNYbvhTpdR5fRPDhgaCnm3pkiDFpump","60","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000216","","","","","","","2026-07-13T02:22:19.016Z","","","","","",""
"WOW","4VaszgT9whcELz79v5KrJk2x83AyJTNCM9xBitkNpump","70","0.148148147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00009648","","","","","","","2026-07-13T02:23:16.968Z","","","","","",""
"HOODIE","C663QjS8od2XKWgufsoeWgLshVtSu8fjKHUitpDgpump","68","0.250000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001372","","","","","","3.111e-7","2026-07-13T02:24:18.225Z","","","","","2026-07-13T02:28:16.092Z",""
"ANSEM","CHwQTdz7xE8CxBm3z2FPFjJLLtZZ43QCDHFVkBxMpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.042e-7","","","","","","2026-07-13T02:24:18.437Z",""
"ANSEM","9BWhW2LoPMi1KzkBRdiitX7iqazgJUREBVhPjaGPpump","78","0.296296295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003827","","","","","","","2026-07-13T02:25:17.967Z","","","","","",""
"FRog","77cjCZCYiAbNo8y2nNrUJV8BdfUkEujeYboFyTenpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.528e-8","","","","","","2026-07-13T02:25:18.982Z",""
"MEMEBANG","28XiSaAPtBUUuw4t4AoJSsBJzdesu2UYkXVUMBa5pump","76","2.000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002199","","","","","","5.718e-7","2026-07-13T02:26:18.969Z","","","","","2026-07-13T02:31:16.035Z",""
"FAZENAZI","J5SHFoHgv7BJdnxPbYzp98umpY9qkjiUuQXC4cdfpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002138","","","","","","","2026-07-13T02:26:19.989Z","","","","","",""
"PEPE","4WoyfUExgL8itW3dAigTTNUnQtqkS9sym52BUhXMpump","92","1.161665053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004577","","","","","","0.000002198","2026-07-13T02:26:20.958Z","","","","","2026-07-13T02:33:16.049Z",""
"ANSEL","AsrjX2bM9GmGQtbunhtSfBvKukkK5BTneRBuWYdapump","77","7.901234566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003686","","","","","","","2026-07-13T02:28:17.959Z","","","","","",""
"SHSC","3ckShT7NfwCtJ2Bei7oQ7GEPAtYbhCGvBRgVAc3qpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.924e-7","","","","","","2026-07-13T02:28:18.967Z",""
"cat","22rd2As3A4FPGeuVhBCQs6TC7z7fYFsZfDJH2T4gpump","75","6.9125","","","","","","","0.5","60","-69.9","960","6.9125","0","0","0","0","0","7149.85","11","6054.11","20226.51","0.518","0.595","121","","0","0","1","0","1","","","","","","","0.000005466","0.000007149","","","","","","2026-07-13T02:29:19.960Z","2026-07-13T02:38:16.146Z","","","","",""
"AO","2xa3NE9Y4yVb9o7zC6n54Qu27NSwmh5jViaMhUBdpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23e-7","","","","","","2026-07-13T02:29:20.961Z",""
"FUN","CWgpLNP9FSETjPUPy7LU8ucmfNQwoMDQUzHhqXFXpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002239","","","","","","2026-07-13T02:29:21.959Z",""
"Aurum+","Dq3ZXhiEhKkT6N6EQXW7Y1ffC2HtCCCJe67ze8czpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.846e-7","","","","","","2026-07-13T02:29:22.958Z",""
"ANSEM","GHaiWQioGsN2if9p8asRWdhd438vh9pB6cPMXt9Vpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.654e-8","","","","","","2026-07-13T02:30:17.961Z",""
"BLANK3","HxAtSxfp6WNceotAJE9xvC8VKUUzkvSxZtbSDkZ5pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.884e-7","","","","","","2026-07-13T02:30:18.964Z",""
"ANSEM","4sphwajj25UnxNGsJTJzthVqhRY6ZKjEt39FMne5pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.301e-7","","","","","","2026-07-13T02:31:18.957Z",""
"ART","HQVQfL1vcmDgEYyjg6iAvbygKs67a2xrjkN1M75fpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.612e-8","","","","","","2026-07-13T02:31:19.956Z",""
"FUN","Bgr9SLGNLEWM4ijZmtfpawoUabKUGc3zyfWAUjmKpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.63e-7","","","","","","2026-07-13T02:31:20.952Z",""
"FUN","E6RWsMXGRfFSPXcKjPRRfzpYEgcFvnzWzSxoYca3pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.287e-7","","","","","","2026-07-13T02:32:18.970Z",""
"WH","86N2tTMFzLw2HqoYsHR36duCULqNQGyjY1WTD8Uwpump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002162","","","","","","","2026-07-13T02:32:19.960Z","","","","","",""
"SOL3","FQWaAZj1g87UbzaCikBPmHp2oeb7vCivobYN7UVnpump","63","3.091358023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003196","","","","","","","2026-07-13T02:32:20.960Z","","","","","",""
"IMPOSTER","oXHczzCAj7m46384KNf4AwaiGBNpnTDn4nGT3gjf7ML","71","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003537","","","","","","0.000002229","2026-07-13T02:33:17.970Z","","","","","2026-07-13T02:36:16.044Z",""
"BLACKROCK","CEiWig1scE4Dkz3PuRyoQhZY2ogWLrBEwTNwsxNopump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.526e-8","","","","","","2026-07-13T02:33:18.953Z",""
"FUN","3xUrh4GvMXPXSoCEnJS9rqM3n3L7Tz53uoLGKTmPpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.363e-7","","","","","","2026-07-13T02:35:16.957Z",""
"ANSEM","49zr5MCwTuC4BmWpAs2WBf4TBr23BAZkjaDSLoNNpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.638e-8","","","","","","2026-07-13T02:36:17.007Z",""
"SHSC","8UDLeCBrQJuvvtmoYRqiRi9cLXnPjwtJDdMUGY7opump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.043e-7","","","","","","2026-07-13T02:37:20.043Z",""
"BLACKROCK","7Hcz4meTYyFtXZXXSJ2UVhUdumogpGEtjNBv8668pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.692e-7","","","","","","2026-07-13T02:37:20.951Z",""
"FUN","5oZVa5VjiMPXdz7QcQaC7hkpkEdtRnoeALudKaXGpump","69","0.395061727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003255","","","","","","","2026-07-13T02:37:21.952Z","","","","","",""
"CHOCI","EorgVzUxKaMbv7w2Di1pLJUpo11Hi3CNVtqRthxTpump","79","8.779140739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002352","","","","","","","2026-07-13T02:37:22.953Z","","","","","",""
"SHSC","CQAKBdGRc3vpZxjfWDEBoyPoWEpNZnhnU9SRewwPpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.344e-8","","","","","","2026-07-13T02:38:17.966Z",""
"FOCASS","9XK4maCoiLxBcsoEoByJvTtgiLQ5rSvztqJyaakXpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.911e-7","","","","","","2026-07-13T02:38:18.959Z",""
"bcat","AQNcbDVvSi6g5aJpg49zj2ARHBpGLk23NHwBkf5ipump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002184","","","","","","","2026-07-13T02:39:18.160Z","","","","","",""
"FOXY","7uLqR18AnQFGBXsmuKaXXbBP2vKjJLBcjEFwhG77pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.813e-8","","","","","","2026-07-13T02:39:18.383Z",""
"MCD","D5iaymb9J1dYGai3wd2CN9J6ugASUHXC9jnqSG1Xpump","65","0.197530863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001185","","","","","","8.397e-8","2026-07-13T02:40:16.946Z","","","","","2026-07-13T02:42:16.049Z",""
"FOXY","HPxrnFcKbHU4v2D5Gfbgx2gsZb72qQXDqxizfhbYpump","82","0.050084894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007331","","","","","","","2026-07-13T02:41:18.943Z","","","","","",""
"brg","Cx72XMvGszRCRxcRVSCa2Dq54DdtjEtzR87FCCigpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4e-7","","","","","","2026-07-13T02:41:19.975Z",""
"Aurum+","6YfRgsSVRDJFmchsMFZNwhfXGBvsMXa1HtpLG2Njpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.389e-8","","","","","","2026-07-13T02:41:20.963Z",""
"BLIKY","6RfnjSoXwxGZJVWCtWXZo5TSdn379dnzfQg8TNRzpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.652e-7","","","","","","2026-07-13T02:43:18.974Z",""
"Aurum+","2n6SiUaT8xjft9bZRTXwt9CpqPby5efbRPWdwZ15pump","97","0.060000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002465","","","","","","0.000001333","2026-07-13T02:43:19.959Z","","","","","2026-07-13T02:49:15.972Z",""
"FOXY","4T7vPj8gNvsoHS4iwaFhbDZYNUQPFcuKvjrmyPQYpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.031e-7","","","","","","2026-07-13T02:43:20.958Z",""
"100","2MHFMML6wKEkmxesbZY3fWzNvr7YHVisDDHVZMm9pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.077e-8","","","","","","2026-07-13T02:45:18.956Z",""
"BAG","DkXqwqBLBfCcvQb2sHwHQm7ZSSEyUejXHatVYZWvpump","100","42.469135801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000009632","","","","","","0.000007101","2026-07-13T02:45:19.964Z","","","","","2026-07-13T02:47:16.067Z",""
"BCAT","De4pGKmXeVTMamSPxi1MoxMHM5x6R1cS2k9hL65xpump","73","5.925925924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003323","","","","","","0.000002626","2026-07-13T02:45:21.003Z","","","","","2026-07-13T02:48:16.059Z",""
"BUSS","2Wr6E69kx8gPmMhVnn5RwwQF8pSuitfq4UFKbYBupump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.651e-9","","","","","","2026-07-13T02:45:21.961Z",""
